y
54
63
56
65
64
55
61
55
49
58
66
61
58
58
51
57
54
68
64
62
56
61
65
61
85
80
66
56
50
61
71
69
56
42
50
54
55
65
66
55
48
54
62
58
66
64
56
62
48
54
60
65
58
60
56
64
65
68
63
66
58
65
54
62
63
66
69
56
60
59
78
71
72
67
62
63
57
66
62
65
64
62
57
64
63
66
68
69
67
60
70
72
77
75
86
67
66
70
74
77
79
77
75
74
71
70
67
86
81
79
67
73
79
77
70
79
75
81
66
74
76
99
86
81
81
77
76
87
92
98
89
75
82
86
84
98
92
83
75
81
86
79
88
88
84
79
78
81
80
89
95
77
75
80
85
94
88
89
78
82
75
84
80
90
89
86
75
82
82
85
81
82
86
77
77
80
90
91
86
90
81
80
73
73
74
84
73
71
67
74
70
80
77
71
74
72
77
73
77
89
72
68
64
76
75
68
78
72
66
67
77
77
62
73
47
57
59
62
61
73
65
66
60
51
67
70
67
64
53
62
62
75
68
69
71
62
60
63
88
74
65
68
70
47
40
56
54
58
60
54
49
51
62
52
60
55
53
50
59
57
58
49
55
51
46
61
61
56
58
56
48
51
44
72
67
73
63
64
59
59
69
61
71
63
63
80
72
69
70
66
65
61
74
65
63
66
71
67
59
60
64
83
76
84
76
79
73
72
76
79
75
84
79
82
85
82
85
79
79
78
68
67
85
85
83
65
68
80
84
89
84
88
80
77
85
80
82
86
85
76
78
87
81
91
92
88
79
79
82
83
85
78
86
83
79
80
90
89
88
82
74
72
79
77
91
102
80
76
69
78
77
84
79
79
77
70
84
76
83
91
80
77
87
79
86
81
79
74
79
78
75
76
79
74
73
69
70
77
71
78
78
70
71
68
70
75
83
72
73
68
65
84
89
87
73
77
70
75
73
82
76
77
88
77
93
80
82
80
78
77
76
78
80
73
81
82
67
80
84
78
82
83
82
71
60
76
74
77
80
81
86
65
82
92
83
91
83
92
85
83
85
85
91
90
106
90
81
101
99
89
90
91
88
84
80
85
88
88
86
83
96
113
89
91
95
84
80
94
80
98
98
96
102
103
92
94
87
95
96
102
94
88
100
106
97
93
99
81
90
97
94
94
105
99
91
95
103
107
106
100
96
90
87
95
94
92
99
89
89
93
95
96
101
95
91
86
91
86
91
98
111
99
83
90
88
87
102
92
79
75
102
76
91
87
95
87
77
71
87
85
84
88
87
80
76
78
81
87
81
84
79
78
82
100
93
76
66
72
68
76
71
70
75
77
69
63
70
71
72
80
81
67
61
67
67
77
78
66
71
60
72
70
81
78
72
75
69
58
63
64
66
64
60
63
61
61
58
66
64
57
56
57
62
67
75
83
70
56
66
60
61
68
67
55
62
62
53
79
74
73
70
66
77
70
79
66
71
80
64
71
72
81
92
80
72
73
77
75
69
82
82
69
73
73
78
90
90
91
81
76
96
78
97
87
82
84
80
85
92
83
89
84
83
82
90
78
83
94
83
77
83
90
90
80
93
89
90
85
85
90
106
95
103
95
88
90
89
91
96
90
86
82
91
86
91
90
89
86
84
90
87
91
97
88
83
83
89
90
96
90
84
82
82
82
78
86
85
79
80
80
83
87
92
91
79
88
81
96
97
89
88
93
86
88
99
83
91
84
84
77
74
78
77
85
84
90
73
83
76
78
79
77
80
76
76
80
79
84
85
96
81
95
89
77
97
80
79
